antecedents;consequents;confidence;interestingness;support;isSymmetric;cluster;source;target
frozenset({'mammary glands', 'teats'});frozenset({'milking machines'});1.0;0.5555555492645309;0.00023794793699138627;False;no_clustering;frozenset({'mammary glands', 'teats'});frozenset({'milking machines'})
frozenset({'Adansonia rubrostipa', 'plant morphology'});frozenset({'Adansonia grandidieri'});1.0;0.5555555492645309;0.00023794793699138627;False;no_clustering;frozenset({'Adansonia rubrostipa', 'plant morphology'});frozenset({'Adansonia grandidieri'})
frozenset({'age determination', 'Adansonia rubrostipa'});frozenset({'Adansonia grandidieri'});1.0;0.5555555492645309;0.00023794793699138627;False;no_clustering;frozenset({'age determination', 'Adansonia rubrostipa'});frozenset({'Adansonia grandidieri'})
frozenset({'pesticide resistance', 'Kenya'});frozenset({'pyrethrins'});1.0;0.5555555492645309;0.00023794793699138627;False;no_clustering;frozenset({'pesticide resistance', 'Kenya'});frozenset({'pyrethrins'})
frozenset({'milking', 'mammary glands'});frozenset({'milking machines'});1.0;0.5555555492645309;0.00023794793699138627;False;no_clustering;frozenset({'milking', 'mammary glands'});frozenset({'milking machines'})
frozenset({'wood', 'Adansonia'});frozenset({'Adansonia grandidieri'});1.0;0.5555555492645309;0.00023794793699138627;False;no_clustering;frozenset({'wood', 'Adansonia'});frozenset({'Adansonia grandidieri'})
frozenset({'Adansonia digitata', 'wood'});frozenset({'Adansonia grandidieri'});1.0;0.5555555492645309;0.00023794793699138627;False;no_clustering;frozenset({'Adansonia digitata', 'wood'});frozenset({'Adansonia grandidieri'})
frozenset({'age determination', 'wood'});frozenset({'Adansonia grandidieri'});1.0;0.5555555492645309;0.00023794793699138627;False;no_clustering;frozenset({'age determination', 'wood'});frozenset({'Adansonia grandidieri'})
frozenset({'Adansonia', 'plant anatomy'});frozenset({'Adansonia grandidieri'});1.0;0.5555555492645309;0.00023794793699138627;False;no_clustering;frozenset({'Adansonia', 'plant anatomy'});frozenset({'Adansonia grandidieri'})
frozenset({'Adansonia digitata', 'plant anatomy'});frozenset({'Adansonia grandidieri'});1.0;0.5555555492645309;0.00023794793699138627;False;no_clustering;frozenset({'Adansonia digitata', 'plant anatomy'});frozenset({'Adansonia grandidieri'})
frozenset({'Adansonia', 'plant morphology'});frozenset({'Adansonia grandidieri'});1.0;0.5555555492645309;0.00023794793699138627;False;no_clustering;frozenset({'Adansonia', 'plant morphology'});frozenset({'Adansonia grandidieri'})
frozenset({'Adansonia digitata', 'age determination'});frozenset({'Adansonia grandidieri'});1.0;0.5555555492645309;0.00023794793699138627;False;no_clustering;frozenset({'Adansonia digitata', 'age determination'});frozenset({'Adansonia grandidieri'})
frozenset({'age determination', 'Adansonia za'});frozenset({'Adansonia grandidieri'});1.0;0.5555555492645309;0.00023794793699138627;False;no_clustering;frozenset({'age determination', 'Adansonia za'});frozenset({'Adansonia grandidieri'})
frozenset({'age determination', 'Adansonia'});frozenset({'Adansonia grandidieri'});1.0;0.5555555492645309;0.00023794793699138627;False;no_clustering;frozenset({'age determination', 'Adansonia'});frozenset({'Adansonia grandidieri'})
frozenset({'Adansonia digitata', 'Adansonia rubrostipa'});frozenset({'Adansonia grandidieri'});1.0;0.5555555492645309;0.00023794793699138627;False;no_clustering;frozenset({'Adansonia digitata', 'Adansonia rubrostipa'});frozenset({'Adansonia grandidieri'})
frozenset({'Saudi Arabia', 'mammary glands'});frozenset({'milking machines'});1.0;0.5555555492645309;0.00023794793699138627;False;no_clustering;frozenset({'Saudi Arabia', 'mammary glands'});frozenset({'milking machines'})
frozenset({'milking', 'teats'});frozenset({'milking machines'});1.0;0.6666666576075913;0.0002855375243896635;False;no_clustering;frozenset({'milking', 'teats'});frozenset({'milking machines'})
frozenset({'milking', 'animal performance'});frozenset({'milking machines'});1.0;0.5555555492645309;0.00023794793699138627;False;no_clustering;frozenset({'milking', 'animal performance'});frozenset({'milking machines'})
frozenset({'Adansonia digitata', 'Adansonia za'});frozenset({'Adansonia grandidieri'});1.0;0.5555555492645309;0.00023794793699138627;False;no_clustering;frozenset({'Adansonia digitata', 'Adansonia za'});frozenset({'Adansonia grandidieri'})
